Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression pHDB3	Expression pLCV1	qValue pHDB3 vs pLCV1	Fold-change pLCV1/pHDB3
127719	127912	129336	129373	+	lpd	b0116	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	5510	5643	0.396462682	1.024137931
3471068			3471167	+	-	predicted RNA	antisense: fusA	3432	3129	0.399850824	0.911713287
1184979	1185067	1186293	1186293	+	pepT	b1127	peptidase T	49	51	0.40013101	1.040816327
1849911	1849911	1850552	1850630	+	pncA	b1768	nicotinamidase/pyrazinamidase	498	462	0.40013101	0.927710843
3128125	3128200	3129216	3129415	+	insH	b2982	IS5 transposase and trans-activator	509	593	0.402396696	1.16502947
3964229	3964440	3965699	3965699	+	rho	b3783	transcription termination factor	2849	2813	0.402461439	0.987363987
711173	711121	710828	710690	-	ybfE	b0685	LexA-regulated conserved protein	235	239	0.403847705	1.017021277
	3367500	3367036	3367036	-	yhcH	b3221	conserved protein	42	47	0.403847705	1.119047619
3577682	3577668	3576973	3576886	-	yhhW	b3439	quercetinase activity in vitro	62	61	0.403847705	0.983870968
918420	918458	919573		+	macA	b0878	macrolide transporter subunit, membrane fusion protein (MFP) component	55	57	0.404792584	1.036363636
4366626	4366687	4367163	4367163	+	fxsA	b4140	suppressor of F exclusion of phage T7	185	228	0.404792584	1.232432432
1023124	1023106	1020953	1020953	-	yccS	b0960	inner membrane protein	132	125	0.406633088	0.946969697
1098863	1098863	1099417	1099417	+	ycdY	b1035	conserved protein, REMP family	910	852	0.407615067	0.936263736
3167724	3167698	3167306	3167272	-	ygiW	b3024	conserved protein	147	150	0.407615067	1.020408163
2228629	2228646	2229044		+	yohJ	b2141	inner membrane protein, UPF0299 family	41	34	0.408076109	0.829268293
823818	823853	824263	824263	+	ybhQ	b0791	inner membrane protein	143	147	0.410035539	1.027972028
1786335	1786459	1787505	1787505	+	aroH	b1704	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible	259	242	0.410035539	0.934362934
2401972	2401867	2400077	2400075	-	nuoC	b2286	NADH:ubiquinone oxidoreductase, fused CD subunit	925	1044	0.411636917	1.128648649
503920	503920	502700	502700	-	fsr	b0479	predicted fosmidomycin efflux system	49	51	0.411757396	1.040816327
2518795	2518694	2517279	2517279	-	gltX	b2400	glutamyl-tRNA synthetase	2500	2433	0.411757396	0.9732
1643926	1643896	1643657		-	relB	b1564	Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system/ transcriptional repressor	317	314	0.413442207	0.990536278
3202708	3202716	3203333	3203447	+	plsY	b3059	probable glycerol-3-phosphate acyltransferase	56	50	0.415651293	0.892857143
	214833	215255	215255	+	yaeJ	b0191	conserved protein	181	179	0.416408671	0.988950276
1271262	1271342	1271572	1271729	+	chaB	b1217	cation transport regulator	43	38	0.417003324	0.88372093
3297959	3297937	3297494	3297494	-	yhbP	b3154	conserved protein, UPF0306 family	60	51	0.424084165	0.85
3325056	3324957	3323023	3322980	-	ftsH	b3178	protease, ATP-dependent zinc-metallo	1872	1887	0.424084165	1.008012821
3472199	3472103	3471564	3471537	-	rpsG	b3341	30S ribosomal subunit protein S7	25638	26292	0.424809819	1.02550901
179181	179153	178455		-	mtn	b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	751	714	0.425594412	0.950732357
3950161	3950224	3950487	3950487	+	ilvM	b3769	acetolactate synthase II, small subunit	76	84	0.427090618	1.105263158
1892852	1892755	1892576	1892576	-	yoaH	b1811	conserved protein	363	376	0.427403255	1.035812672
246241	246239	245961	245884	-	yafQ	b0225	translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ	72	63	0.42802614	0.875
3924034	3923656	3921767	3921767	-	mnmG	b3741	5-methylaminomethyl-2-thiouridine modification at tRNA U34	758	779	0.42802614	1.027704485
4275492	4275492	4275956	4275956	+	soxR	b4063	DNA-binding transcriptional dual regulator, Fe-S center for redox-sensing	40	44	0.42802614	1.1
3794971	3794971	3796230	3796230	+	rfaL	b3622	O-antigen ligase	408	387	0.43164988	0.948529412
97085	97087	98403		+	murD	b0088	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	225	212	0.433734635	0.942222222
2627274	2627312	2627503	2627570	+	yfgG	b2504	predicted protein	249	245	0.433734635	0.983935743
3401484	3401506	3402480	3402521	+	yhdH	b3253	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	58	60	0.433734635	1.034482759
3711095	3711115	3711678		+	tag	b3549	3-methyl-adenine DNA glycosylase I, constitutive	116	120	0.434641707	1.034482759
	3094405	3094695	3094702	+	yggU	b2953	conserved protein, UPF0235 family	210	219	0.435498669	1.042857143
1957303	1957290	1956544	1956544	-	cutC	b1874	copper homeostasis protein	81	85	0.436246701	1.049382716
123017	123017	125680	125686	+	aceE	b0114	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	10071	10507	0.437035496	1.043292622
	3293416	3293811	3293830	+	yraN	b3148	conserved protein, UPF0102 family	114	112	0.437594841	0.98245614
499322	499349	500653	500738	+	gsk	b0477	inosine/guanosine kinase	412	390	0.442514945	0.946601942
807190	807132	806656	806579	-	ybhB	b0773	kinase inhibitor homolog, UPF0098 family	100	99	0.442514945	0.99
1860560	1860795	1861790	1861790	+	gapA	b1779	glyceraldehyde-3-phosphate dehydrogenase A	8353	8615	0.442514945	1.031365976
3041559	3041684	3043123	3043123	+	bglA	b2901	6-phospho-beta-glucosidase A	359	343	0.442514945	0.955431755
3597772	3597681	3596578	3596542	-	livJ	b3460	leucine/isoleucine/valine transporter subunit	57	59	0.442514945	1.035087719
328586	328558	327971	327958	-	betI	b0313	DNA-binding transcriptional repressor	117	120	0.445463571	1.025641026
3450292			3450793	+	-	predicted RNA	antisense: rplC rplD	950	878	0.450156583	0.924210526
2693787	2693823	2695379	2695445	+	mltF	b2558	membrane-bound lytic transglycosylase F, murein hydrolase	45	46	0.450969843	1.022222222
1123299	1123277	1122630	1122630	-	grxB	b1064	glutaredoxin 2 (Grx2)	98	102	0.45139996	1.040816327
4176376	4176470	4176898	4176901	+	rplK	b3983	50S ribosomal subunit protein L11	16612	17120	0.45139996	1.030580303
4183307	4183373	4187596	4187596	+	rpoC	b3988	RNA polymerase, beta prime subunit	2316	2369	0.452158963	1.022884283
225381			225457	+	ileV	b0202	Ile tRNA	4192	3898	0.452455068	0.929866412
2630557	2630557	2628980	2628970	-	guaA	b2507	GMP synthetase (glutamine aminotransferase)	2271	2288	0.452455068	1.007485689
3441777			3441978	+	-	predicted RNA	antisense: secY	2366	2189	0.452455068	0.925190194
4423044	4423141	4423536	4423542	+	rpsF	b4200	30S ribosomal subunit protein S6	21581	22253	0.452455068	1.031138501
1394066	1394100	1395116	1395268	+	insH	b1331	IS5 transposase and trans-activator	513	592	0.453677439	1.153996101
1248980	1248980	1248348	1248338	-	dhaL	b1199	dihydroxyacetone kinase, C-terminal domain	201	251	0.455124043	1.248756219
	2092559	2093149		+	hisH	b2023	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit with HisF	116	119	0.456061336	1.025862069
	974845	975549		+	mukE	b0923	chromosome condensin MukBEF, MukE subunit	415	393	0.457413141	0.946987952
1545193	1545193	1544312	1544312	-	yddG	b1473	aromatic amino acid exporter	43	41	0.461662757	0.953488372
3470821			3470999	+	-	predicted RNA	antisense: fusA	1373	1255	0.461662757	0.91405681
2940718			2940923	+	gcvB	b4443	-	1058	920	0.465289836	0.869565217
	3335278	3334985	3334826	-	mlaB	b3191	ABC transporter maintaining OM lipid asymmetry, cytoplasmic STAS component	870	803	0.465289836	0.922988506
1946738	1946656	1946204	1946176	-	nudB	b1865	dihydroneopterin triphosphate pyrophosphatase	1044	966	0.467438557	0.925287356
3208666	3208803	3209018	3209128	+	rpsU	b3065	30S ribosomal subunit protein S21	2338	2220	0.467438557	0.949529512
3706004	3705728	3704121	3703993	-	dppA	b3544	dipeptide transporter	327	375	0.467438557	1.146788991
1349845	1349784	1349431	1349431	-	ycjD	b1289	conserved protein	56	49	0.468246835	0.875
1407501	1407535	1408908	1408908	+	dbpA	b1343	ATP-dependent RNA helicase, specific for 23S rRNA	54	54	0.468246835	1
3331123			3331255	+	-	predicted RNA	antisense: rpmA rplU	1855	1699	0.468246835	0.915902965
375975	375996	376535	376612	+	yaiL	b0354	predicted protein	67	62	0.468321205	0.925373134
450947	450834	449887	449867	-	cyoA	b0432	cytochrome o ubiquinol oxidase subunit II	9123	9436	0.469222837	1.03430889
	809604	810758		+	bioF	b0776	8-amino-7-oxononanoate synthase	185	160	0.469222837	0.864864865
781239	781308	782351	782388	+	nadA	b0750	quinolinate synthase, subunit A	1289	1322	0.469381862	1.025601241
1197890	1197918	1198811	1198841	+	lit	b1139	e14 prophage; cell death peptidase, inhibitor of T4 late gene expression	46	45	0.469381862	0.97826087
3103677	3103736	3104992	3104992	+	nupG	b2964	nucleoside transporter	63	79	0.474155383	1.253968254
3301470	3301470	3302477	3302682	+	yhbW	b3160	predicted enzyme	52	52	0.474155383	1
91398	91413	93179		+	ftsI	b0084	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	256	233	0.476191476	0.91015625
2816157			2816081	-	argZ	b2692	Arg tRNA	2430	2062	0.476191476	0.848559671
4020173			4020114	-	-	predicted RNA	antisense: tatA	896	905	0.476513195	1.010044643
4196804	4196813	4197484	4197526	+	nfi	b3998	endonuclease V	69	68	0.483171999	0.985507246
244181	244327	245094	245133	+	yafJ	b0223	predicted amidotransfease	74	76	0.484738713	1.027027027
2945230	2945200	2944103	2943937	-	mltA	b2813	membrane-bound lytic murein transglycosylase A	428	397	0.490387405	0.927570093
1908162	1908123	1907332	1907234	-	kdgR	b1827	DNA-binding transcriptional regulator f kdgK, kdgT, eda	669	640	0.496944392	0.956651719
2696572	2696572	2695937	2695880	-	yfhB	b2560	conserved protein	87	89	0.496944392	1.022988506
3376380			3376535	+	-	predicted RNA	antisense: rplM	1554	1423	0.497516525	0.915701416
3917880	3917880	3916339	3916330	-	atpA	b3734	F1 sector of membrane-bound ATP synthase, alpha subunit	8607	9019	0.497516525	1.047868014
4538727	4538980	4539582	4539582	+	fimB	b4312	tyrosine recombinase/inversion of on/off regulator of fimA	120	122	0.49819555	1.016666667
4035164			4035240	+	ileT	b3852	Ile tRNA	4196	3918	0.501016465	0.933746425
1611327	1611275	1610349		-	yneH	b1524	glutaminase	95	90	0.502438142	0.947368421
2371578	2371560	2371294	2371125	-	pmrD	b2259	inactive two-component system connector protein	132	119	0.502459849	0.901515152
2213671	2213679	2213786	2213889	+	yohO	b4542	predicted protein	53	46	0.504023903	0.867924528
4398620	4398695	4399975	4400021	+	hflX	b4173	GTPase, stimulated by 50S subunit binding	1090	1104	0.504853302	1.012844037
4368570	4368711	4369004	4369017	+	groS	b4142	Cpn10 chaperonin GroES, small subunit of GroESL	24235	25428	0.50631351	1.049226326
1993792	1993842	1994066	1994104	+	yecF	b1915	conserved protein, DUF2594 family	977	860	0.506439642	0.88024565
4631702	4631820	4632467	4632615	+	ytjC	b4395	predicted phosphoglyceromutase 2, co-factor independent	486	456	0.506857547	0.938271605
	3141011	3139308		-	hybC	b2994	hydrogenase 2, large subunit	48	47	0.507304127	0.979166667
881986	881957	881199	881160	-	deoR	b0840	DNA-binding transcriptional repressor	100	100	0.510378548	1
379154	379105	378830	378797	-	frmR	b0357	regulator protein that represses frmRAB operon	695	593	0.510390688	0.85323741
1798119	1798023	1797826	1797794	-	rpmI	b1717	50S ribosomal subunit protein L35	57987	60531	0.512694844	1.043871902
	3275359	3275823	3275823	+	yhaV	b3130	toxin of the SohB(PrlF)-YhaV toxin-antitoxin system	175	171	0.513275666	0.977142857
3482512	3482512	3483381	3483417	+	prkB	b3355	predicted phosphoribulokinase	44	42	0.519030172	0.954545455
513148	513217	513624	513633	+	cueR	b0487	DNA-binding transcriptional activator of copper-responsive regulon genes	115	115	0.519821507	1
2282037	2281969	2280962	2280875	-	yejK	b2186	nucleotide associated protein	482	455	0.519821507	0.943983402
2796625	2796517	2796113	2795936	-	stpA	b2669	DNA binding protein, nucleoid-associated	1170	1094	0.520893007	0.935042735
3603723	3603774	3604400	3604400	+	yhhN	b3468	predicted inner membrane protein, TMEM86 family	96	101	0.52282708	1.052083333
637852	638168	638731	638819	+	ahpC	b0605	alkyl hydroperoxide reductase, C22 subunit	5843	5432	0.523913439	0.929659422
3175892	3176137	3177618	3177618	+	tolC	b3035	transport channel	922	934	0.523913439	1.013015184
4390383			4390458	+	glyV	b4163	Gly tRNA	6647	6387	0.523913439	0.96088461
	2393367	2393065		-	nuoK	b2279	NADH:ubiquinone oxidoreductase, membrane subunit K	78	89	0.527441821	1.141025641
3151554	3151585	3152244	3152244	+	yghB	b3009	required, with yqjA, for membrane integrity; inner membrane protein	91	97	0.530456103	1.065934066
3708586	3708498	3706807	3706807	-	eptB	b3546	KDO phosphoethanolamine transferase, Ca(2+)-inducible	41	42	0.530456103	1.024390244
3447191	3447191	3446781		-	rplP	b3313	50S ribosomal subunit protein L16	87847	84503	0.531104385	0.961933817
1331785	1331879	1332853	1332853	+	cysB	b1275	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	497	470	0.533959593	0.945674044
1719288	1719288	1720145		+	ydhJ	b1644	predicted membrane fusion protein (MFP) of YdhJK efflux pump	90	90	0.533959593	1
1920127	1920145	1920336	1920474	+	yebW	b1837	predicted protein	158	138	0.533959593	0.873417722
2442224	2442191	2441913	2441850	-	yfcL	b2325	predicted protein	326	303	0.533959593	0.929447853
3439072	3439051	3438062	3438062	-	rpoA	b3295	RNA polymerase, alpha subunit	32722	32113	0.533959593	0.981388668
3750015	3750015	3750989	3750989	+	yiaU	b3585	predicted DNA-binding transcriptional regulator	43	43	0.533959593	1
425344	425361	426488	426488	+	tgt	b0406	tRNA-guanine transglycosylase	3091	3100	0.533993589	1.002911679
3913374	3913223	3911853	3911841	-	glmU	b3730	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	1160	1207	0.533993589	1.040517241
4376977	4376967	4375834	4375834	-	ampC	b4150	beta-lactamase/D-alanine carboxypeptidase	73	71	0.533993589	0.97260274
160148	160112	159186	159146	-	yadB	b0144	glutamyl-Q tRNA(Asp) synthetase	88	86	0.535719329	0.977272727
1108334	1108164	1107007	1107007	-	opgC	b1047	membrane protein required for succinylation of osmoregulated periplasmic glucans (OPGs)	175	151	0.535719329	0.862857143
257814	257829	258230	258386	+	crl	b0240	sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation	1224	1167	0.539557866	0.953431373
1830412	1830452	1831258	1831261	+	xthA	b1749	exonuclease III	376	356	0.539557866	0.946808511
2821791	2821791	2820730	2820692	-	recA	b2699	DNA strand exchange and recombination protein with protease and nuclease activity	1065	1146	0.539557866	1.076056338
3309785	3309706	3309437	3309305	-	rpsO	b3165	30S ribosomal subunit protein S15	22316	22862	0.539557866	1.02446675
3443265	3443251	3442748	3442748	-	rpsE	b3303	30S ribosomal subunit protein S5	21934	22931	0.539557866	1.045454545
3446244	3446171	3445800	3445790	-	rplN	b3310	50S ribosomal subunit protein L14	29129	30405	0.539557866	1.043805143
1726269	1726371	1727018	1727040	+	rnt	b1652	ribonuclease T (RNase T)	103	107	0.54051522	1.038834951
3933307	3933311	3934276	3934277	+	rbsC	b3750	D-ribose transporter subunit	219	281	0.54051522	1.283105023
4177752	4178019	4178516	4178516	+	rplJ	b3985	50S ribosomal subunit protein L10	56110	58283	0.54051522	1.0387275
1398270	1398260	1397745	1397676	-	ogt	b1335	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	69	63	0.542576593	0.913043478
2816571			2816495	-	argV	b2694	Arg tRNA	4501	4166	0.542576593	0.925572095
3814602	3814572	3813886	3813818	-	rph	b3643	defective ribonuclease PH	651	600	0.544305848	0.921658986
3920074	3920074	3919259	3919213	-	atpB	b3738	F0 sector of membrane-bound ATP synthase, subunit a	7136	7303	0.544305848	1.023402466
960384	960424	961107	961173	+	cmk	b0910	cytidylate kinase	2057	2062	0.544716129	1.002430724
4244483	4244442	4243252	4243252	-	malE	b4034	maltose transporter subunit	1903	2544	0.550380817	1.336836574
4404009	4404213	4404638	4404638	+	nsrR	b4178	nitric oxide-sensitive repressor for NO regulon	188	186	0.550457581	0.989361702
17465	17489	18655	18714	+	nhaA	b0019	sodium-proton antiporter	371	340	0.554567	0.916442049
136506	136464	135598	135598	-	speE	b0121	spermidine synthase (putrescine aminopropyltransferase)	1356	1430	0.556718073	1.054572271
1753188	1753165	1752956	1752956	-	ydhZ	b1675	predicted protein	47	42	0.558080937	0.893617021
3117353	3117134	3112572	3112473	-	yghJ	b4466	predicted inner membrane lipoprotein	717	671	0.560145529	0.935843794
2465767	2465877	2466239		+	gtrA	b2350	CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)	1480	1414	0.562184088	0.955405405
4426898	4426958	4427578	4427662	+	fklB	b4207	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	457	437	0.562184088	0.956236324
3383504	3383560	3383823	3383823	+	yhcN	b3238	conserved protein	359	327	0.562824699	0.91086351
	3603002	3603271	3603337	+	yhhL	b3466	conserved protein, DUF1145 family	134	125	0.564274141	0.932835821
692621	692601	691561		-	ybeZ	b0660	predicted protein with nucleoside triphosphate hydrolase domain	530	592	0.564909921	1.116981132
3915398	3915398	3914016	3913996	-	atpD	b3732	F1 sector of membrane-bound ATP synthase, beta subunit	3757	3931	0.564909921	1.046313548
889993	889976	889719	889679	-	grxA	b0849	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)	144	137	0.567135651	0.951388889
3515401	3515328	3514042	3513936	-	damX	b3388	cell division protein that binds to the septal ring	1109	1105	0.567135651	0.996393147
77520	77621	78799	78933	+	setA	b0070	broad specificity sugar efflux system	77	71	0.567815308	0.922077922
1984844	1984949	1985452	1985452	+	ftnB	b1902	ferritin B, probable ferrous iron reservoir	105	107	0.569193323	1.019047619
4377805	4377795	4377400	4377390	-	frdC	b4152	fumarate reductase (anaerobic), membrane anchor subunit	54	59	0.569193323	1.092592593
3428864	3428860	3428042		-	aroE	b3281	dehydroshikimate reductase, NAD(P)-binding	593	566	0.569448615	0.954468803
490543	490636	491187	491291	+	apt	b0469	adenine phosphoribosyltransferase	919	895	0.575918896	0.973884657
2814531	2814461	2812905	2812756	-	gshA	b2688	glutamate-cysteine ligase	976	975	0.578138858	0.99897541
3309301	3309190	3307055	3306947	-	pnp	b3164	polynucleotide phosphorylase/polyadenylase	1607	1607	0.580121825	1
1744198	1744151	1742895	1742895	-	ydhQ	b1664	conserved protein	270	252	0.582549018	0.933333333
629090	629117	631222	631363	+	cstA	b0598	carbon starvation protein	37	45	0.583504394	1.216216216
3465015	3465013	3464819	3464748	-	bfd	b3337	bacterioferritin-associated ferredoxin	59	71	0.583593983	1.203389831
4634018	4634030	4634719		+	creB	b4398	DNA-binding response regulator in two-component regulatory system with CreC	60	59	0.585076917	0.983333333
	3696049	3696240		+	bcsF	b3537	predicted protein	71	84	0.592874225	1.183098592
2278622	2278505	2277810	2277810	-	rsuA	b2183	16S rRNA U516 pseudouridine synthase	445	422	0.593106314	0.948314607
3941458			3941533	+	gltU	b3757	Glu tRNA	2638	2288	0.595095465	0.86732373
4104019	4103693	4102995		-	cpxR	b3912	DNA-binding response regulator in two-component regulatory system with CpxA	499	463	0.595344508	0.927855711
454057	454357	455655	455655	+	tig	b0436	peptidyl-prolyl cis/trans isomerase (trigger factor)	8596	9102	0.597019143	1.058864588
	3482240	3482458	3482511	+	yheU	b3354	conserved protein	189	189	0.597596233	1
125686	125695	127587	127911	+	aceF	b0115	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	5537	5834	0.598036273	1.053639155
262095			262170	+	thrW	b0244	Thr tRNA	479	625	0.598036273	1.30480167
426489	426511	426843	426870	+	yajC	b0407	SecYEG protein translocase auxillary subunit	4105	4107	0.598036273	1.000487211
1617143	1617144	1617578	1617578	+	marR	b1530	DNA-binding transcriptional repressor of multiple antibiotic resistance	154	161	0.598036273	1.045454545
1990011			1989938	-	cysT	b1910	Cys tRNA	4812	4459	0.598036273	0.926641729
2716705	2716757	2717176	2717176	+	trxC	b2582	thioredoxin 2	174	178	0.598036273	1.022988506
3033196	3033196	3031679	3031679	-	lysS	b2890	lysine tRNA synthetase, constitutive	2254	2258	0.598036273	1.001774623
3530699	3530840	3532462	3532462	+	pck	b3403	phosphoenolpyruvate carboxykinase	681	738	0.598036273	1.083700441
1292183	1292145	1291732	1291682	-	hns	b1237	global DNA-binding transcriptional dual regulator H-NS	19747	21167	0.607544456	1.071909657
	4442135	4445914	4445914	+	ytfN	b4221	large conserved protein, DUF490 family	133	130	0.607544456	0.977443609
1264194	1264235	1265317		+	prfA	b1211	peptide chain release factor RF-1	291	276	0.609328462	0.948453608
1355717	1355692	1355447	1355211	-	ymjA	b1295	predicted protein	215	220	0.610814629	1.023255814
	2598500	2598970	2598970	+	bcp	b2480	thiol peroxidase, thioredoxin-dependent	1188	1112	0.610814629	0.936026936
22372	22391	25207		+	ileS	b0026	isoleucyl-tRNA synthetase	558	564	0.612319496	1.010752688
	3138821	3138333		-	hybE	b2992	hydrogenase 2-specific chaperone	64	57	0.612319496	0.890625
4053312	4053301	4051892	4051805	-	glnG	b3868	fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein	45	48	0.612319496	1.066666667
	973542	974864		+	mukF	b0922	chromosome condensin MukBEF, kleisin-like subunit, binds calcium	185	174	0.615398834	0.940540541
830008	830095	831459	831459	+	rhlE	b0797	ATP-dependent RNA helicase	201	193	0.616216398	0.960199005
2247736	2247640	2246759	2246555	-	yeiE	b2157	predicted DNA-binding transcriptional regulator	83	85	0.616216398	1.024096386
1108505	1108558	1110093		+	opgG	b1048	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	942	929	0.617036831	0.986199575
3442126	3442119	3440788	3440757	-	secY	b3300	preprotein translocase membrane subunit	25212	24923	0.617036831	0.988537205
4254645	4254489	4252066	4251996	-	plsB	b4041	glycerol-3-phosphate O-acyltransferase	535	541	0.619791389	1.011214953
490112	490036	489509	489509	-	priC	b0467	primosomal replication protein N''	78	79	0.621383751	1.012820513
3974300	3974301	3975551		+	wzxE	b3792	O-antigen translocase	206	195	0.621633082	0.946601942
164535	164730	167264	167264	+	mrcB	b0149	fused glycosyl transferase and transpeptidase	191	184	0.622094288	0.963350785
1515654	1515672	1515905	1516082	+	ydcY	b1446	predicted protein	2068	1989	0.622094288	0.961798839
2317933	2317898	2315049	2314984	-	rcsC	b2218	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	92	88	0.622094288	0.956521739
3079730	3079657	3077666	3077666	-	tktA	b2935	transketolase 1, thiamin-binding	688	685	0.622348319	0.995639535
1215249	1215291	1215563	1215591	+	ymgA	b1165	connector protein for RcsB regulation of biofilm	97	85	0.624372803	0.87628866
972736	972760	973545		+	smtA	b0921	predicted S-adenosyl-L-methionine-dependent methyltransferase	576	541	0.624589917	0.939236111
1732323	1732125	1731778	1731778	-	grxD	b1654	glutaredoxin-4	2994	3350	0.624589917	1.118904476
2936909	2936910	2937332	2937332	+	fucU	b2804	L-fucose mutarotase	80	73	0.624589917	0.9125
4017639	4017647	4018252		+	yigP	b3834	conserved protein, SCP2 family	435	415	0.624589917	0.954022989
2405024	2404663	2403725	2403674	-	lrhA	b2289	DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes	411	378	0.625190342	0.919708029
1924121	1924144	1924806	1924873	+	exoX	b1844	DNA exonuclease X	78	80	0.626779126	1.025641026
1739283	1739437	1740585	1740585	+	cfa	b1661	cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)	415	397	0.62756871	0.956626506
1808213	1808235	1808825	1808937	+	ydjM	b1728	inner membrane protein regulated by LexA	61	57	0.628504942	0.93442623
780592			780667	+	lysZ	b0748	Lys tRNA	5569	5131	0.630829816	0.921350332
	1326381	1325791	1325773	-	btuR	b1270	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	133	134	0.632439488	1.007518797
2524878	2524878	2523952	2523952	-	yfeR	b2409	predicted DNA-binding transcriptional regulator	47	48	0.638500359	1.021276596
4170060	4170080	4171108		+	murB	b3972	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	525	502	0.63964693	0.956190476
710024	709948	709862		-	uof	b4637	ryhB-regulated fur leader peptide	3563	3393	0.640001619	0.952287398
2581517	2581500	2580925	2580925	-	nudK	b2467	GDP-mannose pyrophosphatase	112	119	0.640001619	1.0625
3451502	3451292	3450981	3450949	-	rpsJ	b3321	30S ribosomal subunit protein S10	21587	23179	0.640001619	1.073748089
452812	452769	451294	451254	-	ampG	b0433	muropeptide transporter	191	185	0.645826291	0.968586387
2732317			2732175	-	ryfD	b4609	-	1102	1355	0.649404558	1.229582577
3848824	3848749	3848159		-	uhpA	b3669	DNA-binding response regulator in two-component regulatory system wtih UhpB	115	121	0.649825647	1.052173913
440764	440567	440325		-	xseB	b0422	exonuclease VII small subunit	319	323	0.652083624	1.012539185
4007057	4007193	4008215	4008222	+	pldB	b3825	lysophospholipase L2	225	277	0.652083624	1.231111111
1163308	1163318	1164343	1164347	+	nagZ	b1107	beta N-acetyl-glucosaminidase	335	314	0.658345443	0.937313433
1521291	1521331	1522392	1522392	+	yncE	b1452	conserved protein	191	168	0.658345443	0.879581152
3793999	3794002	3794961	3794970	+	rfaC	b3621	ADP-heptose:LPS heptosyl transferase I	315	301	0.658345443	0.955555556
1006849	1006823	1005714	1005714	-	ycbX	b0947	predicted 2Fe-2S cluster-containing protein; 6-N-hydroxylaminopurine resistance protein	223	211	0.659179494	0.946188341
125111			125040	-	-	predicted RNA	antisense: aceE	1038	1061	0.660725767	1.022157996
3610938	3610992	3611579	3611617	+	acpT	b3475	holo-(acyl carrier protein) synthase 2	114	120	0.663133761	1.052631579
2696739	2696781	2697629	2697684	+	yfhH	b2561	predicted DNA-binding transcriptional regulator	51	52	0.665132887	1.019607843
	2765006	2765377	2765419	+	yfjO	b2631	CP4-57 prophage; predicted protein	137	140	0.669101579	1.02189781
1297709	1297821	1298468	1298501	+	ychE	b1242	predicted inner membrane protein	73	74	0.671570625	1.01369863
3444600	3444567	3444175	3444163	-	rpsH	b3306	30S ribosomal subunit protein S8	39570	44228	0.671570625	1.117715441
	4163451	4164308	4164665	+	murI	b3967	glutamate racemase	368	350	0.671570625	0.951086957
18712	18715	19620	19905	+	nhaR	b0020	DNA-binding transcriptional activator	96	92	0.672434096	0.958333333
2533856	2533856	2534365	2534379	+	crr	b2417	glucose-specific enzyme IIA component of PTS	3056	3024	0.672828879	0.989528796
3963669	3963784	3964113	3964261	+	trxA	b3781	thioredoxin 1	1704	1595	0.672828879	0.936032864
4154813	4154873	4156246	4156246	+	argH	b3960	argininosuccinate lyase	63	61	0.672828879	0.968253968
4604309			4604223	-	leuP	b4369	Leu tRNA	3397	3264	0.672828879	0.960847807
762050	762237	763403		+	sucC	b0728	succinyl-CoA synthetase, beta subunit	595	670	0.673595869	1.12605042
1516876	1516870	1516352		-	yncA	b1448	predicted acyltransferase with acyl-CoA N-acyltransferase domain	68	64	0.674409471	0.941176471
3089102	3089156	3089887	3089887	+	rsmE	b2946	16S rRNA m(3)U1498 methyltransferase, SAM-dependent	299	270	0.674409471	0.903010033
4472741	4472885	4473337	4473337	+	tabA	b4252	biofilm modulator regulated by toxins	123	130	0.675600794	1.056910569
1194197	1194346	1195596	1195936	+	icd	b1136	e14 prophage; isocitrate dehydrogenase, specific for NADP+	4607	4795	0.67611415	1.040807467
